Carimbo de data/hora,"Esta pesquisa manterá todas as respostas em anonimato, garantindo a privacidade dos respondentes. Apenas resultados consolidados, como médias, de todos os respondentes serão divulgados.

Nenhuma informação pessoal sua será divulgada. Ao responder a este formulário, você dá seu consentimento livre e esclarecido para participar da pesquisa. O link para o Termo de Consentimento Livre e Esclarecido completo para esta pesquisa: TCLE.  Clique em “Aceito os termos de consentimento” para responder ao questionário.",Você trabalha ou já trabalhou na área de tecnologia?,Qual a sua faixa etária?,Quais destes modelos de trabalho você já experienciou?,"Qual é o seu modelo de trabalho atual? Se você trabalha em mais de um modelo, marque o principal e o considere como ""modelo de trabalho atual"" nas próximas perguntas.",Há quanto tempo você utiliza o seu modelo de trabalho atual? ,Como você classifica a influência do seu modelo de trabalho atual na sua performance?,Quais são as principais vantagens do seu modelo de trabalho atual?,Quais são as principais desvantagens do seu modelo de trabalho atual?,Qual modelo de trabalho você considera melhor?,"Com base no seu modelo de trabalho atual, há alguma experiência que você gostaria de compartilhar para contribuir com nossa pesquisa?  "
11/05/2023 10:02:39,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Comunicação mais efetiva, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação",Dificuldade em manter o foco,Híbrido (presencial e remoto),
11/05/2023 10:03:21,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Há 1 ano ou menos,3,"Mais tempo livre, Mais conforto, Maior concentração, Maior produtividade","Falta de supervisão direta, Dificuldade em manter o foco, Falta de motivação",Remoto,
11/05/2023 10:09:05,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Falta de motivação, Esgotamento mental ou físico",Híbrido (presencial e remoto),
11/05/2023 10:12:38,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Há 1 ano ou menos,4,"Comunicação mais efetiva, Maior satisfação, Maior concentração, Maior produtividade",Custos adicionais,Híbrido (presencial e remoto),
11/05/2023 10:24:08,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Há 1 ano ou menos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Necessidades maiores de infraestrutura (computador, internet e energia)",Remoto,
11/05/2023 13:02:54,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,5,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Falta de supervisão direta",Híbrido (presencial e remoto),
11/05/2023 13:19:31,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Dificuldade em manter o foco",Remoto,
11/05/2023 14:06:32,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Remoto,Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais conforto, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional",Remoto,
11/05/2023 20:04:22,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais conforto, Maior satisfação","Dificuldade em manter o foco, Esgotamento mental ou físico, Custos adicionais",Não tenho preferência,
11/05/2023 20:12:44,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Presencial,Há 1 ano ou menos,3,"Comunicação mais efetiva, Maior concentração","Dificuldade em manter o foco, Esgotamento mental ou físico",Não tenho preferência,
11/05/2023 20:17:15,Aceito os termos de consentimento,Não,,,,,,,,,
11/05/2023 20:33:03,Aceito os termos de consentimento,Não,,,,,,,,,
11/05/2023 21:05:33,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto",Falta de interação com colegas de trabalho,Remoto,
11/05/2023 21:08:10,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto",Remoto,Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Dificuldade em manter o foco",Remoto,
11/05/2023 21:11:15,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto",Presencial,Há 1 ano ou menos,5,"Comunicação mais efetiva, Maior produtividade, Maior aprendizado ",Esgotamento mental ou físico,Híbrido (presencial e remoto),Tenho mais facilidade em aprender com as pessoas da minha equipe proximas a mim.
11/05/2023 21:25:07,Aceito os termos de consentimento,Não,,,,,,,,,
11/05/2023 21:34:39,Aceito os termos de consentimento,Não,,,,,,,,,
11/05/2023 22:14:36,Aceito os termos de consentimento,Sim,18 - 25 anos,Presencial,Presencial,Há 1 ano ou menos,4,"Comunicação mais efetiva, Maior concentração, Maior produtividade",Menos flexibilidade,Híbrido (presencial e remoto),
12/05/2023 09:05:07,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Presencial,Entre 1 e 3 anos,5,"Maior concentração, Maior produtividade",Esgotamento mental ou físico,Híbrido (presencial e remoto),Tenho preguiça de calçar o tênis pra ir trabalhar
12/05/2023 09:06:28,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Dificuldade em manter o foco",Remoto,
12/05/2023 09:14:05,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Mais conforto, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Falta de motivação",Híbrido (presencial e remoto),
12/05/2023 09:41:46,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Presencial,Há 1 ano ou menos,4,"Comunicação mais efetiva, Maior satisfação, Maior concentração, Maior produtividade","Dificuldade em separar vida pessoal e profissional, Custos adicionais",Híbrido (presencial e remoto),
12/05/2023 09:49:23,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto",Remoto,Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Dificuldade em manter o foco, Esgotamento mental ou físico",Remoto,
12/05/2023 10:48:31,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Há 1 ano ou menos,3,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Necessidades maiores de infraestrutura (computador, internet e energia)",Híbrido (presencial e remoto),"Permite um maior número de oportunidades, sem delimitação geográfica "
12/05/2023 11:56:26,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais conforto",Custos adicionais,Híbrido (presencial e remoto),
12/05/2023 12:12:13,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Remoto,Há 1 ano ou menos,5,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de supervisão direta, Necessidades maiores de infraestrutura (computador, internet e energia)",Remoto,
12/05/2023 12:29:44,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação",Falta de interação com colegas de trabalho,Remoto,
12/05/2023 13:20:50,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Mais tempo livre, Mais conforto, Maior produtividade","Dificuldade em separar vida pessoal e profissional, Falta de motivação",Híbrido (presencial e remoto),
12/05/2023 14:43:59,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Presencial,Há 1 ano ou menos,4,"Comunicação mais efetiva, Maior concentração, Maior produtividade","Necessidades maiores de infraestrutura (computador, internet e energia), Esgotamento mental ou físico, Custos adicionais",Híbrido (presencial e remoto),
12/05/2023 17:58:45,Aceito os termos de consentimento,Sim,18 - 25 anos,Presencial,Presencial,Há 1 ano ou menos,2,Network na empresa,"Esgotamento mental ou físico, Custos adicionais",Híbrido (presencial e remoto),
12/05/2023 20:11:41,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Necessidades maiores de infraestrutura (computador, internet e energia), Esgotamento mental ou físico, Custos adicionais",Híbrido (presencial e remoto),
14/05/2023 08:09:27,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em manter o foco, Falta de acesso a recursos que teria no escritório",Remoto,
14/05/2023 16:34:55,Aceito os termos de consentimento,Sim,30 - 40 anos,"Presencial, Remoto",Remoto,Entre 1 e 3 anos,4,"Mais tempo livre, Mais conforto, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação",Dificuldade em separar vida pessoal e profissional,Remoto,
15/05/2023 13:50:48,Aceito os termos de consentimento,Sim,30 - 40 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Necessidades maiores de infraestrutura (computador, internet e energia)",Remoto,
15/05/2023 14:19:41,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Remoto,Entre 1 e 3 anos,5,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Necessidades maiores de infraestrutura (computador, internet e energia)",Remoto,
15/05/2023 14:22:45,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Presencial,Entre 1 e 3 anos,4,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade",Custos adicionais,Presencial,"O trabalho remoto ele pode se tornar mais confortável para algumas pessoas, mas há exemplos como o meu, onde moro com crianças, então em casa acaba tendo mais distração e barulho "
15/05/2023 16:49:15,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Há 1 ano ou menos,5,"Maior flexibilidade geográfica, Mais conforto, Maior satisfação, Maior produtividade","Falta de supervisão direta, Dificuldade em manter o foco, Falta de motivação",Presencial,
15/05/2023 19:45:43,Aceito os termos de consentimento,Sim,18 - 25 anos,Presencial,Presencial,Há 1 ano ou menos,4,"Comunicação mais efetiva, Maior satisfação, Maior concentração, Maior produtividade","Esgotamento mental ou físico, Custos adicionais",Presencial,
15/05/2023 21:32:08,Aceito os termos de consentimento,Não,,,,,,,,,
16/05/2023 07:34:59,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto",Remoto,Entre 3 e 5 anos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional",Remoto,
16/05/2023 16:34:23,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Necessidades maiores de infraestrutura (computador, internet e energia), Falta de motivação",Remoto,
16/05/2023 19:38:57,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Híbrido (presencial e remoto)",Presencial,Há 1 ano ou menos,5,"Comunicação mais efetiva, Maior concentração, Maior produtividade","Dificuldade em separar vida pessoal e profissional, Esgotamento mental ou físico, Custos adicionais",Híbrido (presencial e remoto),"O trabalho presencial me ajuda muito por não ter muita experiência, pois tendo contato com outros desenvolvedores posso perguntar e soli^citar ajuda diretamente a eles."
16/05/2023 19:39:12,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Comunicação mais efetiva, Mais tempo livre, Mais conforto, Maior satisfação, Maior produtividade",Dificuldade em separar vida pessoal e profissional,Híbrido (presencial e remoto),
16/05/2023 20:08:59,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Remoto,Entre 1 e 3 anos,3,"Maior flexibilidade geográfica, Mais conforto, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação",Falta de interação com colegas de trabalho,Híbrido (presencial e remoto),
16/05/2023 22:59:36,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em manter o foco, Falta de motivação",Híbrido (presencial e remoto),
16/05/2023 23:29:16,Aceito os termos de consentimento,Não,,,,,,,,,
16/05/2023 23:43:10,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Entre 1 e 3 anos,4,"Maior flexibilidade geográfica, Mais tempo livre, Maior concentração, Economia de tempo e dinheiro com transporte e alimentação",Falta de interação com colegas de trabalho,Híbrido (presencial e remoto),
17/05/2023 06:05:35,Aceito os termos de consentimento,Sim,18 - 25 anos,Presencial,Presencial,Há 1 ano ou menos,2,Não há,Dificuldade em manter o foco,Remoto,
17/05/2023 07:19:41,Aceito os termos de consentimento,Sim,18 - 25 anos,Presencial,Presencial,Há 1 ano ou menos,3,Comunicação mais efetiva,"Dificuldade em separar vida pessoal e profissional, Falta de motivação, Custos adicionais",Híbrido (presencial e remoto),
17/05/2023 07:20:09,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Híbrido (presencial e remoto)",Presencial,Entre 1 e 3 anos,4,"Comunicação mais efetiva, Maior satisfação",Custos adicionais,Remoto,
